Career,Followers,Gender,Name,Group
12,131375,Boy,Youngmin,BOYFRIEND
9,12132886,Boy,Yugyeom,GOT7
12,612734,Girl,Yujeong,BRAVE GIRLS
4,15812,Girl,Yuji,3YE
1,4836626,Girl,Yujin,IVE
4,44341,Girl,Yuju,CHERRY BULLET
8,1367944,Girl,Yuju,GFRIEND
10,439441,Girl,Yuna,AOA
12,322465,Girl,Yuna,BRAVE GIRLS
1,5427193,Girl,Yunjin,LE SSERAFIM
5,5838243,Girl,Yuqi,(G)I-DLE
13,1850297,Girl,Yura,GIRL'S DAY
4,1502071,Girl,Yuri,IZ*ONE
4,16127,Girl,Yurim,3YE
7,9329651,Boy,Yuta,NCT
6,392397,Boy,Yuto,PENTAGON
4,239878,Girl,Yves,LOONA
11,777028,Boy,Zelo,B.A.P
12,4814973,Boy,Zico,BLOCK B
7,247204,Boy,Ziu,VAV
8,81988,Girl,ZN,LABOUM
6,398744,Boy,Zuho,SF9
10,64731,Girl,Zuny,LADIES' CODE
